review_body,stars,labels
"-อาหาร(Food)⭐️⭐️⭐️⭐️⭐️
จากเกียรติศัพท์เลื่องลือระบือไกล คงไม่ต้องอธิบายอะไรแล้ว ว่ากับข้าวที่นี่""อร่อย""!!!!!
-บรรยากาศสถานที่(Atmosphere)⭐️⭐️
สถานที่ก็ใหญ่นะ รองรับลูกได้เยอะ มีทั้งindoorและoutdoor แต่ปัญหาคือลูกค้าเยอะกว่าที่นั่งตลอดเวลา หาเก้าอี้มาให้นั่งรอเป็นแถวๆก็ยังไม่พอ เลยทำให้แออัดมาก บรรยากาศเหมือนคนโหนรถเมล์เวลาเร่งด่วน และร้านนี้คือร้านข้าวต้มริมถนน ไม่มีการตกแต่งใดๆทั้งสิ้นค่ะ ที่จ...",5,positive
"เหมาะสำหรับคนที่นอนดึกและต้องการอาหารรสชาติดี ผมแนะนำที่นี่เลยครับ อร่อยมากกกกกกก !! 
ผู้ที่ชื่นชอบทานขนมจีนไม่ควรพลาดด้วยประการทั้งปวงครับ",5,positive
"หลังจากที่มาลอง bkk restaurant week ของวงใน 
ไปเมื่อรอบที่แล้ว จัดอีกก็ไม่พลาดมาชิมซ้ำครับ 

 ร้าน ""La Vie"" ในโรงแรม Vie ใกล้กับ bts ราชเทวี
ห้องอาหารฝรั้งเศส บรรยากาศสบายๆ ไม่อึดอัด 
ช่วงหัวค่ำมีนักร้องมาเล่นเปียโนคลอไปด้วยเบาๆ 
ไฟสลัวๆ ออกแนวโรแมนติก ข้อเสียคือถ่ายรูปยาก

 3 courses set มื้อเย็นราคา 699++ ไม่รวมเครื่องดื่ม
มากัน 3คน อาหารในเมนูมีให้เลือกคอร์สละ 3อย่าง
สั่งไปสั่งมา ครบทุกเมนู...",4,positive
"วันนี้ได้มีโอกาสมาลิ้มลองอาหารญี่ปุ่นที่ร้าน ISAO (อิซาโอะ) ที่ถือว่าเป็น 1 ในร้านอาหารญี่ปุ่นที่กำลังอินมากในขณะนี้ การเดินทางมาไม่ยากเลยครับ สามารถมาด้วย BTS ลงสถานีพร้อมพงษ์ เข้าซอยสุขุมวิท31มาประมาณ 150 ร้านอยู่ทางซ้ายมือครับ ส่วนใครที่เอารถมาเองอาจจะหาที่จอดโดยแปะไว้ข้างทางในซอยก็ได้ แต่อาจจะเดินไกลหน่อย หรือ จอดที่ RSU Tower หน้าปากซอยได้ครับ และนำบัตรมาปั๊มที่ร้านได้เลย

ร้านตกแต่งด้วย...",4,positive
"ลาบคั่วที่นี่อร่อยมาก ติดใจทุกครั้งที่ไปต้องมีการสั่งกลับบ้านทุกครั้ง 
เมนูจิ๊นทั้งหลายก็ใช่ย่อย อร่อยมากๆ อาหารที่นี่จะมาเป็นชาม/จานเล็ก ทำให้เราสามารถทานได้หลากหลาย ส่วนเรื่องของราคาก็ไม่แพงนะ เราว่าโอเคอยู่นะ เทียบกับรสชาติแล้ว ผ่านค่ะ",5,positive
"ปูไม่ค่อยสด เนื้อเละมาก
เหล้าปั่นไม่อร่อย
โป๊ะแตกซุปแซ่บดี
กุ้งค่อนข้างดี หัวกุ้งมีมัน เยิ้มๆ กลมกล่อม",2,negative
แหนมเนืองอร่อย น้ำจิ้มสุดยอด เส้นหมี่หมูก้ออร่อย อร่อยทุกอย่าง ที่จอดรถสะดวก ร้านสวย สะอาด,4,positive
เป็นสุกี้ที่อร่อยที่สุดที่เคยทานมาค่ะ ราคาไม่แพง ตั้งอยู่ในตลาดช้างเผือก คิวยาวมาก ต้องรีบไปต่อคิว เป็นที่โด่งดัง แม้กระทั่งในกลุ่มนักท่องเที่ยวชาวต่างชาติ เมนูเด็ด คือสุกี้แห้ง ชอบมาก รสชาติเข้มข้น อร่อยที่สุดเท่าที่เคยกินมาเลย ราคาก็ไม่แพงด้วย,5,positive
"ร้านขนมเค้ก ขนมหวาน และเครื่องดื่ม เป็นร้านเล็กๆ อยู่ตรงข้ามวัดเกตุ ย่านเขตเมืองเก่า ภายในร้านตกแต่งแบบง่ายๆ ด้วยพื้นที่ขนาดเล็ก
เมนูแนะนำของร้านคือเค้กต่างๆ ที่มีหลากหลายอยู่ในตู้ ด้วยเมนูแนะนำอร่อยจริงๆ จังๆ คือ เค้ก หรือพายมะพร้าวอ่อน ด้วยเนื้อครีมนุ่มๆ มากๆ รสชาติเบาๆ ไม่หวานมาก ส่วนของพายก็ไม่แข็ง กำลังดี มีน้ำมะพร้าวสดขายด้วยหากใครชอบทานของหวานจากมะพร้าว แนะนำเลย

สำหรับเมนูอื่นๆ เช่น hon...",5,positive
"ตามวงในมาเลยเนี่ยยยย ... สั่งเลย อร่อยทุกอย่าง ... รสชาติต้อนรับนักท่องเที่ยว อิสานทานได้ ภาคกลางทานดี ต่างชาติโอเคเลย ... สั่งแบบเซฟๆ ไว้ ถ้ารับรสได้ค่อยสั่งแบบแอดวานซ์ ... แต่อร่อยค่ะ นี่มาจากอิสาน ก็คิดว่าคุ้นรสชาติ แต่จืดกว่าเล็กน้อย รสชาติไม่ไปทางไหนอย่างโดดเด่น แต่กลมกล่อมลงตัว ... ราคาโอเค สั่งไป 13 จาน มีน้ำผลไม้ น้ำเปล่า ข้าวโถ ทาน 5 คน ชาย 1 หญิง 5 กำลังดี มีพุงยื่น ก็ประมาณ 1,700 ......",4,positive
"คิดถึงราเมน เลยต้องมาที่บังคาระ ระดับวงใน user choice อันดับหนึ่ง

แต่วันนี้ ลองเมนู ต่างจากทุกครั้ง 

นั้นคือ ราเมนเย็น จุ่มกับน้ำซุปเข้มข้น Tsukamen เป็นน้ำซุปหวานนำ คล้ายๆพะโล้ แต่มีกลิ่นปลาแห้งตามแบบญี่ปุ่น ก็อร่อยดีเหมือนกันนะ ถ้าน้ำซุปพร่องลง ก็เรียกพนักงานเติมซุปใสให้ได้ รสชาติจะเจือจางนุ่มนวลไปอีกแบบ (ถ้ากินไม่หมด ขอใส่ถุงกลับบ้านได้)

อีกเมนูที่สั่งมาประกอบ คือ ข้าวหมูสามชั้นตุ๋น สำหรั...",5,positive
"Aroi Aroi Aroi.
High prices but worth the visit

This place is located in Sri Racha district and has its own private beach.  There is a huge variety of food and everything we ordered tasted delicious.  

The shop is infamous for its seafood variety and yes they are really experts in cooking it aswell. 

The staff is very attentive and polite.

They have tanks from which u can choose ur catch an...",4,positive
ป็นร้านบุฟเฟต์อาหารนานาชาติที่ อยู่บนชั้น 6 Icon Siam  อาหารเยอะมาก,5,positive
"แวะมาแถวโรงพยาบางเลิศสิน อดไม่ได้ที่จะต้องแวะกินขาหมูเลิศสินหรือขาหมูเจริญแสงสีลม ไม่รู้ทำยังไงขาหมูถึงได้อร่อยสุดยอดหนังนุ่มเปื่อย เนื้อนุ่มเนียน คากินุ่มลื่นลิ้น น้ำราดเข้มข้น น้ำจิ้มเลิศรส สุดยอดทุกอย่างกินแล้วไม่เสียดายตังค์ไม่เสียดายเวลา รวมทุกอย่างถือว่ารสชาติเด็ดดวง ไม่จำเป็นต้องอธิบายมาก
ถ้าแวะมายังไงลองมาทานดูการันตีความอร่อย
อย่าลืมซื้อกลับบ้านนะครับ ถ้าต้องการโทรสั่งล่วงหน้าไว้เลยโดย...",5,positive
"หมายมั่นปั้นมือว่าจะมาตามในทวิตแท็กฮิต กิกิ
พอมาถึงพบว่าเป็นร้านเล็ก ๆ ที้นั่งไม่เยอะมากแต่มีคนเข้าออกตลอด มาถึงก็สั่งเต้าหู้เย็นชาเขียวใส่ธัญพืชรวม ส่วนเพื่อนสั่งเต้าหู้นมสด ใส่ถั่วแดงกับลูกเดือยแล้วก็กล้วย ตอนมาเสิร์ปจากมาพร้อมน้ำแข็งใสน้อย ๆ ใต้เต้าหู้ อร่อยกันแบบฟิน ๆ เย็น ๆ ดูมีสุขภาพเพราะเครื่องเป็นพวกธัญพืชและผลไม้ เหมาะสำหรับคนชอบกินของหวานที่ไม่หวานมาก และคนรักสุขภาพ ไม่ผิดหวังเลยที่ตา...",5,positive
"Pho'54 ร้านชาบู (เฝอ) เวียดนาม แต่ร้านนี้เป็นเฝอแบบ LA style นะคะ ซึ่งต่างจากเฝอสูตรดั้งเดิมคือมีน้ำจิ้ม เราจะคุ้นกับเฝอสไตล์เวียดนามแท้ๆจะไม่มีน้ำจิ้ม น้ำจิ้มที่ว่านี้มีด้วยกัน 2 อย่างคือ 
 -ฮอยซินซอส หรือซอสบาร์บีคิวแบบจีน รสชาติออกหวานเผ็ด มีกลิ่นหอม
 -ซอสเผ็ด รสชาติออกเปรี้ยวเผ็ด คล้ายซอสพริกศรีราชา
ทีเด็ดอยู่ที่น้ำจิ้มนี่แหละค่ะ ดาวน้ำซอสทั้ง 2 อย่างนี้ผสมกัน ฮอยซิน 2 ส่วน ซอสเผ็ด 1 ส่วน เ...",5,positive
วันนี้มาทานสาขาแรกของเชียงใหม่ ซอย 1 นิมมาน จัดไปหนักเหมือนกันเพราะพาน้องรหัสมาเลี้ยง จัดเต็ม น้องๆรหัสนะ ไม่ใช่นี่ เจ็บหนักเหมือนกัน แต่อาหารก็คุ้มราคา ทั้งราคาและคุณภาพ ความอร่อยก็รู้ๆๆกันอยู่ แต่ร้านนี้ต้องโทรจองและแจ้งเมนูอาหารก่อน คนเอยะ และอาหารออกช้ามากกก รวมๆเอาใจไปเลย เลิฟที่รสชาติ บริการว่ากันอีกที,5,positive
"รสชาติดี บะหมี่นุ่มอร่อย น้ำต้มยำรสจัด เครื่องทะเลชิ้นใหญ่
แต่ใช้เวลาทำนาน คนโทรสั่งเยอะกว่าหน้าร้าน ทำตามคิว หน้าร้านรออย่างต่ำ 30-60 นาทึ",2,negative
"#เฮ้งชุนเส็ง #ก๋วยเตี๋ยวเนื้อตุ๋นยาจีน

เฮ้งชุนเส็ง ร้านก๋วยเตี๋ยวเนื้อตุ๋นยาจีน ร้านเก่าแก่เปิดมากว่า 70 ปี โดยนายชุนเส็ง แซ่เฮ้ง ชาวจีนที่อพยพหนีสงครามโลกครั้งที่ 2 ก่อนมาลงหลักปักฐานขายก๋วยเตี๋ยวเนื้อสูตรเด็ด ตรงแยกเฉลิมบุรี เยาวราช 

30 ปีต่อมา  คุณวิชัย หวังศิริสมบูรณ์ ทายาทรุ่นที่ 2 ได้มาเปิดที่ ถ.สุนทรโกษา ที่อยู่ตรงข้ามสนามการท่าเรือ 

จุดเด่นอยู่ที่น้ำซุปตุ๋นยาจีนที่มีความหอม เพื่อดับก...",4,positive
"ร้านตั้งอยู่ที่ถนนลอยเคราะห์ เชียงใหม่หน้าโรงแรมเรือนระมิงค์ ร้านจะตั้งอยู่ด้านซ้ายมือค่ะ
ร้านนี้จะเน้นอาหารสไตล์ fast food ค่ะ แต่อาหาร fast food ของทางร้านนี้ ไม่เหมือนร้านอื่นค่ะ
มันเยอะแบบเมนูเดียวอิ่มถึงพรุ่งนี้เลยค่ะ 55555 ไม่ได้เวอร์นะคะ แต่มันอิ่มและอร่อยมากจริง ๆ
ลองไปแวะชิมด่วนเลยค่ะ :D",5,positive
ร้านช็อคโกแลตวิลล์ เปนร้านยอดฮิตในกระแสมาหลายปีแล้ว ช่วงแรกๆ มาต้องรีบมาจองคิวเลยค่ะ คนเยอะมาก ตอนนี้ก็ยังชอบมาเร็วๆ  บรรยากาศดี เหมาะสมหรับคนชอบถ่ายรูป อาหารอร่อยค่ะ เมนูที่ชอบสั่งจะเป็น ยำปลาแซลมอน พิซซ่า เกี๊ยวห่อลาบทอด ขาหมูเยอรมัน สปาเกตี้,5,positive
"หอมด่วน ร้านข้าวแกงอาหารเหนือสูตรต้นตำรับฝีมือแม่ช้อน บอกเลยสั่งเมนูไหนก็อร่อย📍ร้านอยู่ตรงข้าม Park Lane เอกมัย มีเมนูให้เลือกหลากหลาย ถ้าช่วงกลางวันและช่วงเย็นคนค่อนข้างเยอะ 

แนะนำเมนูขนมจีนน้ำเงี้ยว น้ำเงี้ยวรสชาติกลมกล่อม หมูนุ่ม ทานกับขนมจีนอร่อยมาก

น้ำพริกหนุ่ม อร่อย ไม่เผ็ดเกินไป ทานกับผักสด แคบหมู และไข่ต้ม

แกงขนุน เป็นอีกหนึ่งเมนูหาทางยาก แต่ที่นี่ทำออกมาได้อร่อยมาก รสชาติดี ไม่เผ็ด...",4,positive
"ร้านอยู่แถวสถานตากอากาศบางปู (มาตาม GPS ได้เลย) 

บรรยากาศดีมาก ติดทะเล ลมดี เข้ามาจะเจอคาเฟ่ก่อน กลางวันมากินกาแฟได้ มีขายเครื่องกระเบื้องด้วย แต่เป็นแนวงาน ART ราคาจะค่อนข้างแพง
(แบบถ้วยกาแฟ 150 จาน 300 ไรงี้

ส่วนของร้านจะต้องเดินมาอีกด้าน การจัดการค่อนข้างดี

🎉 เข้ามาหากโต๊ะเต็มจะให้นำเอาไม้เหม��อนไม้ปิงปองมาวาง (มีตัวเลขบนไม้ บอกจำนวนคนที่มา)

📱จากนั้นพอถึงคิว เข้าไปที่โต๊ะ สแกน QR Code เ...",4,positive
หากสนใจควรโทรจองค่ะ สนใจเป็ดปักกิ่งจองไว้เลยนะค่ะ ในวันอาทิตย์มีซาลาเปาหิมะอร่อยค่ะอารมณ์ประมาณขนมปังเนยสดนุ่มๆไส้หมูแดง แต่ด้วยความเมามันเก็บภาพไม่ทันจริงๆ,4,positive
"เห็นว่าเป็นร้านแนะนำเลยลองมาชิม ขอแนะนำว่าหากใครจะมากินควรจะเป็นช่วงเย็นเป็นต้นไป เพราะเราไปกินตอน11.30 น. อากาศร้อนมากกกก เนื่องจากบริเวณที่ทานเป็นหลังคาสังกะสี ฉนวนกันความร้อนมีติดแค่ตรงห้องน้ำ คือร้อนมากค่ะ วันก่อนหน้าไปกินร้านดังตอนเที่ยงเหมือนกันแต่เค้ามีบริการพัดลมทุกจุดเลยกินแบบไม่ทรมานอย่างนี้
อาหารที่สั่งคือ
1.หอยกระต่ายผัดฉ่า  รสชาติดี คนชอบเคี้ยวจะเหมาะกับจานนี้ สำหรับผู้ใหญ่คนแก่อาจ...",2,negative
สั่งผัดไทกากหมูกุ้งสดได้แต่กุ้งไม่มีกากหมูสักชิ้นเสียอารมอุตส่าห์สั่งประจำ,2,negative
"ออกจากร้านมิตรโกหยวน ก็มาต่อมนต์นมสด 
วันนั้นแวะซื้อกลับบ้าน 

คนยังคงเยอะก็ทีกลิ่นอายของความเป็นมนต์นมสด ที่คนเยอะ ๆต่อเเถว แล้วก็หาที่นั่งมานั่งทาน 

ร้านนี้จุดเด่นตรงที่ขนมปังและ topping ที่หอมและมีรสชาติโดนใจทุกเพศทุกวัย ประกอบกับนมสดที่มีหลายรส ให้เลือก มาแล้วต้องมาอีก",5,positive
พรรคพวกบอกว่าร้านนี้ขาหมูอร่อย วันนี้มีเวลาว่างไม่ได้ไปไหน เลยโทรชวนกันมากินเวลา 10 โมงกว่าแล้ว กลัวขาหมูหมดก่อนเลยให้คนหนึ่งรีบขับรถมอเตอร์ไซด์ มาจองที่นั่งและสั่งจองอาหารก่อน ยังไม่ทัน ขาจัก เครื่องในหมดก่อน ขนาดมาถึงร้านก่อน 11 โมง ได้ไส้พะโล้มาเพิ่ม โดยขอแบ่งจากลูกค้าเจ้าอื่น รสชาติอร่อย คุยกับเจ้าของร้านเล่าวิธีทำให้ฟัง ใช้เวลาทำเป็นวัน ตอนนี้ให้ลูกและหลานทำแต่ก็ยังคอยดู ผักดอง ก็อร่อยมากๆ...,5,positive
"ร้านนี้แอบคล้ายๆ ไก่กาคาเฟ่แฮะ
ทั้งการตกแต่งร้าน รูปแบบเมนูต่างๆ นานา 
คือชอบมากนะ อาหารอร่อย มีที่กดเรียกพนักงานเหมือนไก่กาเลย
บรรยากาศร้านแอบมืดๆ ไปนิดนึง แต่ที่จอดรถมีเยอะอยู่นะ

อาหารอร่อยดี เหมาะกับมาทานกันเยอะๆ นะค้าบบ",4,positive
"มามนงานก่อนกลับบ้าน และก่อนงานเลิกเหมือนทางร้านจะเครียร์ของที่ร้าน เลยจับห่อหมกปลามาลดราคาเหลือห่อละ 50 บาท ซึ่งจริงๆ ผมก็ไม่รู้ว่าในงานขายเท่าไหร่ เลยจัดมา 2 ห่อ 100 บาท

ทานแล้วนึกถึงห่อหมกนึ่งตามร้านขนมจีนในภูเก็ต เนื้อปลาล้นๆ แน่นๆ เครื่องแกงเข้มข้น เผ็ดๆ ชอบมากๆ ทานเล่นเปล่าๆ หรือทานกับขนมจีนก็อร่อย",4,positive
"อาหารเวียดนาม รสชาติดั้งเดิม สูตรต้นตำรับจากประเทศเวียดนาม 
เจ้าของร้านน่าจะมาจากดานัง เพราะอ่านประวัติบอกว่าเป็นสูตรดานัง 

อาหารรสชาติอร่อย กลมกล่อม สด สะอาด ร้านนี้บริการดี
มีที่นั่งไม่มาก ถ้ามากลุ่มใหญ่แนะนำให้จอง
แต่ร้านทำอาหารไว ใครหิวมากสั่งเมนูง่ายๆ เช่น เฝอ น้ำซุปหอมมากๆ 
แต่ถ้าใครที่ไม่ถนัดอาหารเวียดนาม ในร้านยังมีเมนูอาหารไทยๆ ให้เลือก เช่น
ข้าวและผัดผงกะหรี่ทะเล steam rice St...",5,positive
"ขนมเบื้องสูตรโบราณที่ขายมานานกว่า 60 ปี ตั้งแต่สงครามโลกครั้งที่ 2 
แป้งกรอบหอม เครื่องล้นหน้าแน่นหอมมันอร่อย
ทานร้อนๆก็อร่อย แช่ตู้เย็นออกมาทานก็ยังอร่อยไปอีกแบบ

รายละเอียดเพิ่มเติม : https://www.reviewnowz.com/mae-prapha-crispy-pancake-traditional-thai-dessert-home-delivery/",5,positive
"ร้านอาหารแถวตลาดบองมาเช่ วัดเสมียนนารี เป็นอาหารฟิวชั่น mix อาหารไทย อาหารฝรั่งได้อย่างลงตัว มาครั้งแรกตามสมาชิกวงในมา บรรยากาศร่มรื่นดี
ส่วนตัวชอบเมนูยำๆ ที่ร้านทำออกมาได้ดี 
#แซลมอนโชยุ เป็นยำตระไคร้แซลม่อนทอดชิ้นเล็กๆ เค็มเปรี้ยวลงตัว หอมโชยุ
#หมูแรบบิท คอหมูย่างราดน้ำยำ มีมะระกินคู่กัน เหมือนกุ้งแช่น้ำปลา 

ส่วนตัวไม่ค่อยชอบเมนู
#ข้าวผัดกากหมู  ผัดข้าวออกมาแฉะ เป็นข้าวผัด ใส่ใบโหระพา มีแยกพ...",4,positive
เป็นอีกหนึ่งในร้านที่ต้องมาเยือนเมื่อมาเชียงใหม่ เมนูหลากหลายบวกกับความคิดสร้างสรรค์มากๆ ทำให้ข้าวซอยดูไม่น่าเบื่อเลย อาหารอร่อย สะอาด คนแน่นมากๆ แต่น้องพนักงานบริการดีรวดเร็วดีเลยค่ะ ราคาสมเหตุสมผล 👍 โต๊ะเล็กไปนิดนุง,5,positive
เป็นเนื้อตุ๋นที่สะอาดดี หอม ไม่เลี่ยนหรือมีกลิ่นไม่เหมาะ ลูกชิ้นก็จัดมาดีครับ,4,positive
"ร้านอยู่ใน The commons 
แวะเข้ามาดื่มกาแฟเย็นๆ ในวันที่อากาศร้อนให้ชื่นใจ
สำหรับเมนูที่สั่งวันนี้คือ 
cacoa nibs cold brew (100 บาท) - เป็นกาแฟลักษณะเป็นลาเต้ โรยหน้าด้วยชอคโกแลตขูด รสชาติกลมกล่อม กาแฟหอมมากค่ะ ทานง่าย
ข้อเสียคือบริเวณร้านมีที่นั่งน้อยค่ะ ถ้าอยากนั่งดูบาริสต้าทำกาแฟอาจต้องรอที่นั่งซักนิด",4,positive
"ร้านเก่าแก่ของเชียงใหม่ รอบนี้ไปที่สาขาดั้งเดิมที่ใกล้ ๆ สี่แยกแสงตะวัน
มาทานที่นี่ตั้งแต่พอจำความได้

เมนูเด็ดที่อร่อยไม่เปลี่ยนคือเห็ดหูหนูผัดไข่มาร้อน ๆ อร่อยมากมาย
อื่น ๆ ก็เป็นออเดิร์ฟ, เป็ดพะโล้, ผัดปวยเล้ง, ออส่วน ไข่เยี่ยวม้าทอด

แต่ละเมนูก็อร่อยไม่แพ้กัน",4,positive
"เมื่อวานได้ไปสักการะพระบรมศพอีกครั้ง เสร็จตอนสามทุ่มกว่ายังไม่ได้กินมื้อเย็น เลยถือโอกาสเยือนถิ่นเก่าที่ร้านนี้ 

มนต์นมสด... เราได้กินตั้งแต่สมัยที่ยังเป็นร้านรถเข็น และเห็นพัฒนาการมาจนถึงเป็นร้านแบบทุกวันนี้ 

จำได้ว่าตอนนั้นเรียกกันว่าร้าน ""นมมน"" สมัยยังใช้เพจเจอร์ พอส่งเพจชวนเพื่อนให้ไปร้านนมมน มีบางค่ายไม่ส่งให้ด้วยเหตุผลว่าเป็นคำไม่สุภาพจ้า 😂😂😂


เวิ่นมาซะเยอะ ขอสรุปคอมเม้นท์ดังนี้

บร...",4,positive
เมนูของหวานขึ้นชื่ออยู่แล้วคะ ลองทานอาหารดูบ้างรสชาติดี ไม่แพ้กันเรย ตกใจกะจานที่ใส่มามาก อาหารให้ในปริมาณที่เยอะ เกือบทานไม่หมด ราคาไม่แพงเรยคะถ้าเทียบกับปริมาณอาหารในจาน ข้าวแกงกะหรี่หอมอร่อยคะ ไว้คราวหน้าจะมาลองทานบุฟเฟ่ขนมดูบ้าง,5,positive
